,impedance_key,zCombo,transferFunc,transferFunc_latex,valid,fType,parameters,filterOrder,denom_order,numer_order
21,Z1_Z2_ZL,"(R_1, R_2/(C_2*R_2*s + 1), oo, oo, oo, 1/(C_L*s))",(C_2*R_1*R_2*s + R_1*R_2*g_m + R_1)/(C_2*C_L*R_1*R_2*s**2 + s*(C_2*R_2 + C_L*R_1*R_2*g_m + C_L*R_1 + C_L*R_2) + 1),\frac{C_{2} R_{1} R_{2} s + R_{1} R_{2} g_{m} + R_{1}}{C_{2} C_{L} R_{1} R_{2} s^{2} + s \left(C_{2} R_{2} + C_{L} R_{1} R_{2} g_{m} + C_{L} R_{1} + C_{L} R_{2}\right) + 1},True,X-INVALID-NUMER,"{'Q': sqrt(C_2)*sqrt(C_L)*sqrt(R_1)*sqrt(R_2)/(C_2*R_2 + C_L*R_1*R_2*g_m + C_L*R_1 + C_L*R_2), 'wo': 1/(sqrt(C_2)*sqrt(C_L)*sqrt(R_1)*sqrt(R_2)), 'bandwidth': (C_2*R_2 + C_L*R_1*R_2*g_m + C_L*R_1 + C_L*R_2)/(C_2*C_L*R_1*R_2), 'K_LP': R_1*R_2*g_m + R_1, 'K_HP': 0, 'K_BP': C_2*R_1*R_2/(C_2*R_2 + C_L*R_1*R_2*g_m + C_L*R_1 + C_L*R_2), 'Qz': None, 'Wz': None}",BiQuad,2,1
22,Z1_Z2_ZL,"(R_1, R_2/(C_2*R_2*s + 1), oo, oo, oo, R_L/(C_L*R_L*s + 1))",(C_2*R_1*R_2*R_L*s + R_1*R_2*R_L*g_m + R_1*R_L)/(C_2*C_L*R_1*R_2*R_L*s**2 + R_1*R_2*g_m + R_1 + R_2 + R_L + s*(C_2*R_1*R_2 + C_2*R_2*R_L + C_L*R_1*R_2*R_L*g_m + C_L*R_1*R_L + C_L*R_2*R_L)),\frac{C_{2} R_{1} R_{2} R_{L} s + R_{1} R_{2} R_{L} g_{m} + R_{1} R_{L}}{C_{2} C_{L} R_{1} R_{2} R_{L} s^{2} + R_{1} R_{2} g_{m} + R_{1} + R_{2} + R_{L} + s \left(C_{2} R_{1} R_{2} + C_{2} R_{2} R_{L} + C_{L} R_{1} R_{2} R_{L} g_{m} + C_{L} R_{1} R_{L} + C_{L} R_{2} R_{L}\right)},True,X-INVALID-NUMER,"{'Q': sqrt(C_2)*sqrt(C_L)*sqrt(R_1)*sqrt(R_2)*sqrt(R_L)*sqrt(R_1*R_2*g_m + R_1 + R_2 + R_L)/(C_2*R_1*R_2 + C_2*R_2*R_L + C_L*R_1*R_2*R_L*g_m + C_L*R_1*R_L + C_L*R_2*R_L), 'wo': sqrt(R_1*R_2*g_m + R_1 + R_2 + R_L)/(sqrt(C_2)*sqrt(C_L)*sqrt(R_1)*sqrt(R_2)*sqrt(R_L)), 'bandwidth': (C_2*R_1*R_2 + C_2*R_2*R_L + C_L*R_1*R_2*R_L*g_m + C_L*R_1*R_L + C_L*R_2*R_L)/(C_2*C_L*R_1*R_2*R_L), 'K_LP': (R_1*R_2*R_L*g_m + R_1*R_L)/(R_1*R_2*g_m + R_1 + R_2 + R_L), 'K_HP': 0, 'K_BP': C_2*R_1*R_2*R_L/(C_2*R_1*R_2 + C_2*R_2*R_L + C_L*R_1*R_2*R_L*g_m + C_L*R_1*R_L + C_L*R_2*R_L), 'Qz': None, 'Wz': None}",BiQuad,2,1
23,Z1_Z2_ZL,"(R_1, R_2/(C_2*R_2*s + 1), oo, oo, oo, R_L + 1/(C_L*s))",(C_2*C_L*R_1*R_2*R_L*s**2 + R_1*R_2*g_m + R_1 + s*(C_2*R_1*R_2 + C_L*R_1*R_2*R_L*g_m + C_L*R_1*R_L))/(s**2*(C_2*C_L*R_1*R_2 + C_2*C_L*R_2*R_L) + s*(C_2*R_2 + C_L*R_1*R_2*g_m + C_L*R_1 + C_L*R_2 + C_L*R_L) + 1),\frac{C_{2} C_{L} R_{1} R_{2} R_{L} s^{2} + R_{1} R_{2} g_{m} + R_{1} + s \left(C_{2} R_{1} R_{2} + C_{L} R_{1} R_{2} R_{L} g_{m} + C_{L} R_{1} R_{L}\right)}{s^{2} \left(C_{2} C_{L} R_{1} R_{2} + C_{2} C_{L} R_{2} R_{L}\right) + s \left(C_{2} R_{2} + C_{L} R_{1} R_{2} g_{m} + C_{L} R_{1} + C_{L} R_{2} + C_{L} R_{L}\right) + 1},False,X-INVALID-WZ,"{'Q': sqrt(C_2)*sqrt(C_L)*sqrt(R_2)*sqrt(R_1 + R_L)/(C_2*R_2 + C_L*R_1*R_2*g_m + C_L*R_1 + C_L*R_2 + C_L*R_L), 'wo': 1/sqrt(C_2*C_L*R_1*R_2 + C_2*C_L*R_2*R_L), 'bandwidth': (C_2*R_2 + C_L*R_1*R_2*g_m + C_L*R_1 + C_L*R_2 + C_L*R_L)/(sqrt(C_2)*sqrt(C_L)*sqrt(R_2)*sqrt(R_1 + R_L)*sqrt(C_2*C_L*R_1*R_2 + C_2*C_L*R_2*R_L)), 'K_LP': R_1*R_2*g_m + R_1, 'K_HP': R_1*R_L/(R_1 + R_L), 'K_BP': (C_2*R_1*R_2 + C_L*R_1*R_2*R_L*g_m + C_L*R_1*R_L)/(C_2*R_2 + C_L*R_1*R_2*g_m + C_L*R_1 + C_L*R_2 + C_L*R_L), 'Qz': None, 'Wz': sqrt(R_2*g_m + 1)/(sqrt(C_2)*sqrt(C_L)*sqrt(R_2)*sqrt(R_L))}",BiQuad,2,2
24,Z1_Z2_ZL,"(R_1, R_2/(C_2*R_2*s + 1), oo, oo, oo, L_L*s + 1/(C_L*s))",(C_2*C_L*L_L*R_1*R_2*s**3 + C_2*R_1*R_2*s + R_1*R_2*g_m + R_1 + s**2*(C_L*L_L*R_1*R_2*g_m + C_L*L_L*R_1))/(C_2*C_L*L_L*R_2*s**3 + s**2*(C_2*C_L*R_1*R_2 + C_L*L_L) + s*(C_2*R_2 + C_L*R_1*R_2*g_m + C_L*R_1 + C_L*R_2) + 1),\frac{C_{2} C_{L} L_{L} R_{1} R_{2} s^{3} + C_{2} R_{1} R_{2} s + R_{1} R_{2} g_{m} + R_{1} + s^{2} \left(C_{L} L_{L} R_{1} R_{2} g_{m} + C_{L} L_{L} R_{1}\right)}{C_{2} C_{L} L_{L} R_{2} s^{3} + s^{2} \left(C_{2} C_{L} R_{1} R_{2} + C_{L} L_{L}\right) + s \left(C_{2} R_{2} + C_{L} R_{1} R_{2} g_{m} + C_{L} R_{1} + C_{L} R_{2}\right) + 1},False,X-INVALID-ORDER,,BiQuad,3,3
25,Z1_Z2_ZL,"(R_1, R_2/(C_2*R_2*s + 1), oo, oo, oo, L_L*s/(C_L*L_L*s**2 + 1))",(C_2*L_L*R_1*R_2*s**2 + s*(L_L*R_1*R_2*g_m + L_L*R_1))/(C_2*C_L*L_L*R_1*R_2*s**3 + R_1*R_2*g_m + R_1 + R_2 + s**2*(C_2*L_L*R_2 + C_L*L_L*R_1*R_2*g_m + C_L*L_L*R_1 + C_L*L_L*R_2) + s*(C_2*R_1*R_2 + L_L)),\frac{C_{2} L_{L} R_{1} R_{2} s^{2} + s \left(L_{L} R_{1} R_{2} g_{m} + L_{L} R_{1}\right)}{C_{2} C_{L} L_{L} R_{1} R_{2} s^{3} + R_{1} R_{2} g_{m} + R_{1} + R_{2} + s^{2} \left(C_{2} L_{L} R_{2} + C_{L} L_{L} R_{1} R_{2} g_{m} + C_{L} L_{L} R_{1} + C_{L} L_{L} R_{2}\right) + s \left(C_{2} R_{1} R_{2} + L_{L}\right)},False,X-INVALID-ORDER,,BiQuad,3,2
26,Z1_Z2_ZL,"(R_1, R_2/(C_2*R_2*s + 1), oo, oo, oo, L_L*s + R_L + 1/(C_L*s))",(C_2*C_L*L_L*R_1*R_2*s**3 + R_1*R_2*g_m + R_1 + s**2*(C_2*C_L*R_1*R_2*R_L + C_L*L_L*R_1*R_2*g_m + C_L*L_L*R_1) + s*(C_2*R_1*R_2 + C_L*R_1*R_2*R_L*g_m + C_L*R_1*R_L))/(C_2*C_L*L_L*R_2*s**3 + s**2*(C_2*C_L*R_1*R_2 + C_2*C_L*R_2*R_L + C_L*L_L) + s*(C_2*R_2 + C_L*R_1*R_2*g_m + C_L*R_1 + C_L*R_2 + C_L*R_L) + 1),\frac{C_{2} C_{L} L_{L} R_{1} R_{2} s^{3} + R_{1} R_{2} g_{m} + R_{1} + s^{2} \left(C_{2} C_{L} R_{1} R_{2} R_{L} + C_{L} L_{L} R_{1} R_{2} g_{m} + C_{L} L_{L} R_{1}\right) + s \left(C_{2} R_{1} R_{2} + C_{L} R_{1} R_{2} R_{L} g_{m} + C_{L} R_{1} R_{L}\right)}{C_{2} C_{L} L_{L} R_{2} s^{3} + s^{2} \left(C_{2} C_{L} R_{1} R_{2} + C_{2} C_{L} R_{2} R_{L} + C_{L} L_{L}\right) + s \left(C_{2} R_{2} + C_{L} R_{1} R_{2} g_{m} + C_{L} R_{1} + C_{L} R_{2} + C_{L} R_{L}\right) + 1},False,X-INVALID-ORDER,,BiQuad,3,3
27,Z1_Z2_ZL,"(R_1, R_2/(C_2*R_2*s + 1), oo, oo, oo, L_L*R_L*s/(C_L*L_L*R_L*s**2 + L_L*s + R_L))",(C_2*L_L*R_1*R_2*R_L*s**2 + s*(L_L*R_1*R_2*R_L*g_m + L_L*R_1*R_L))/(C_2*C_L*L_L*R_1*R_2*R_L*s**3 + R_1*R_2*R_L*g_m + R_1*R_L + R_2*R_L + s**2*(C_2*L_L*R_1*R_2 + C_2*L_L*R_2*R_L + C_L*L_L*R_1*R_2*R_L*g_m + C_L*L_L*R_1*R_L + C_L*L_L*R_2*R_L) + s*(C_2*R_1*R_2*R_L + L_L*R_1*R_2*g_m + L_L*R_1 + L_L*R_2 + L_L*R_L)),\frac{C_{2} L_{L} R_{1} R_{2} R_{L} s^{2} + s \left(L_{L} R_{1} R_{2} R_{L} g_{m} + L_{L} R_{1} R_{L}\right)}{C_{2} C_{L} L_{L} R_{1} R_{2} R_{L} s^{3} + R_{1} R_{2} R_{L} g_{m} + R_{1} R_{L} + R_{2} R_{L} + s^{2} \left(C_{2} L_{L} R_{1} R_{2} + C_{2} L_{L} R_{2} R_{L} + C_{L} L_{L} R_{1} R_{2} R_{L} g_{m} + C_{L} L_{L} R_{1} R_{L} + C_{L} L_{L} R_{2} R_{L}\right) + s \left(C_{2} R_{1} R_{2} R_{L} + L_{L} R_{1} R_{2} g_{m} + L_{L} R_{1} + L_{L} R_{2} + L_{L} R_{L}\right)},False,X-INVALID-ORDER,,BiQuad,3,2
28,Z1_Z2_ZL,"(R_1, R_2/(C_2*R_2*s + 1), oo, oo, oo, (C_L*L_L*R_L*s**2 + L_L*s + R_L)/(C_L*L_L*s**2 + 1))",(C_2*C_L*L_L*R_1*R_2*R_L*s**3 + R_1*R_2*R_L*g_m + R_1*R_L + s**2*(C_2*L_L*R_1*R_2 + C_L*L_L*R_1*R_2*R_L*g_m + C_L*L_L*R_1*R_L) + s*(C_2*R_1*R_2*R_L + L_L*R_1*R_2*g_m + L_L*R_1))/(R_1*R_2*g_m + R_1 + R_2 + R_L + s**3*(C_2*C_L*L_L*R_1*R_2 + C_2*C_L*L_L*R_2*R_L) + s**2*(C_2*L_L*R_2 + C_L*L_L*R_1*R_2*g_m + C_L*L_L*R_1 + C_L*L_L*R_2 + C_L*L_L*R_L) + s*(C_2*R_1*R_2 + C_2*R_2*R_L + L_L)),\frac{C_{2} C_{L} L_{L} R_{1} R_{2} R_{L} s^{3} + R_{1} R_{2} R_{L} g_{m} + R_{1} R_{L} + s^{2} \left(C_{2} L_{L} R_{1} R_{2} + C_{L} L_{L} R_{1} R_{2} R_{L} g_{m} + C_{L} L_{L} R_{1} R_{L}\right) + s \left(C_{2} R_{1} R_{2} R_{L} + L_{L} R_{1} R_{2} g_{m} + L_{L} R_{1}\right)}{R_{1} R_{2} g_{m} + R_{1} + R_{2} + R_{L} + s^{3} \left(C_{2} C_{L} L_{L} R_{1} R_{2} + C_{2} C_{L} L_{L} R_{2} R_{L}\right) + s^{2} \left(C_{2} L_{L} R_{2} + C_{L} L_{L} R_{1} R_{2} g_{m} + C_{L} L_{L} R_{1} + C_{L} L_{L} R_{2} + C_{L} L_{L} R_{L}\right) + s \left(C_{2} R_{1} R_{2} + C_{2} R_{2} R_{L} + L_{L}\right)},False,X-INVALID-ORDER,,BiQuad,3,3
29,Z1_Z2_ZL,"(R_1, R_2/(C_2*R_2*s + 1), oo, oo, oo, R_L*(C_L*L_L*s**2 + 1)/(C_L*L_L*s**2 + C_L*R_L*s + 1))",(C_2*C_L*L_L*R_1*R_2*R_L*s**3 + C_2*R_1*R_2*R_L*s + R_1*R_2*R_L*g_m + R_1*R_L + s**2*(C_L*L_L*R_1*R_2*R_L*g_m + C_L*L_L*R_1*R_L))/(R_1*R_2*g_m + R_1 + R_2 + R_L + s**3*(C_2*C_L*L_L*R_1*R_2 + C_2*C_L*L_L*R_2*R_L) + s**2*(C_2*C_L*R_1*R_2*R_L + C_L*L_L*R_1*R_2*g_m + C_L*L_L*R_1 + C_L*L_L*R_2 + C_L*L_L*R_L) + s*(C_2*R_1*R_2 + C_2*R_2*R_L + C_L*R_1*R_2*R_L*g_m + C_L*R_1*R_L + C_L*R_2*R_L)),\frac{C_{2} C_{L} L_{L} R_{1} R_{2} R_{L} s^{3} + C_{2} R_{1} R_{2} R_{L} s + R_{1} R_{2} R_{L} g_{m} + R_{1} R_{L} + s^{2} \left(C_{L} L_{L} R_{1} R_{2} R_{L} g_{m} + C_{L} L_{L} R_{1} R_{L}\right)}{R_{1} R_{2} g_{m} + R_{1} + R_{2} + R_{L} + s^{3} \left(C_{2} C_{L} L_{L} R_{1} R_{2} + C_{2} C_{L} L_{L} R_{2} R_{L}\right) + s^{2} \left(C_{2} C_{L} R_{1} R_{2} R_{L} + C_{L} L_{L} R_{1} R_{2} g_{m} + C_{L} L_{L} R_{1} + C_{L} L_{L} R_{2} + C_{L} L_{L} R_{L}\right) + s \left(C_{2} R_{1} R_{2} + C_{2} R_{2} R_{L} + C_{L} R_{1} R_{2} R_{L} g_{m} + C_{L} R_{1} R_{L} + C_{L} R_{2} R_{L}\right)},False,X-INVALID-ORDER,,BiQuad,3,3
30,Z1_Z2_ZL,"(R_1, R_2 + 1/(C_2*s), oo, oo, oo, R_L)",(R_1*R_L*g_m + s*(C_2*R_1*R_2*R_L*g_m + C_2*R_1*R_L))/(R_1*g_m + s*(C_2*R_1*R_2*g_m + C_2*R_1 + C_2*R_2 + C_2*R_L) + 1),\frac{R_{1} R_{L} g_{m} + s \left(C_{2} R_{1} R_{2} R_{L} g_{m} + C_{2} R_{1} R_{L}\right)}{R_{1} g_{m} + s \left(C_{2} R_{1} R_{2} g_{m} + C_{2} R_{1} + C_{2} R_{2} + C_{2} R_{L}\right) + 1},False,X-INVALID-ORDER,,BiQuad,1,1
31,Z1_Z2_ZL,"(R_1, R_2 + 1/(C_2*s), oo, oo, oo, 1/(C_L*s))",(R_1*g_m + s*(C_2*R_1*R_2*g_m + C_2*R_1))/(s**2*(C_2*C_L*R_1*R_2*g_m + C_2*C_L*R_1 + C_2*C_L*R_2) + s*(C_2 + C_L*R_1*g_m + C_L)),\frac{R_{1} g_{m} + s \left(C_{2} R_{1} R_{2} g_{m} + C_{2} R_{1}\right)}{s^{2} \left(C_{2} C_{L} R_{1} R_{2} g_{m} + C_{2} C_{L} R_{1} + C_{2} C_{L} R_{2}\right) + s \left(C_{2} + C_{L} R_{1} g_{m} + C_{L}\right)},False,X-INVALID-ORDER,,BiQuad,2,1
32,Z1_Z2_ZL,"(R_1, R_2 + 1/(C_2*s), oo, oo, oo, R_L/(C_L*R_L*s + 1))",(R_1*R_L*g_m + s*(C_2*R_1*R_2*R_L*g_m + C_2*R_1*R_L))/(R_1*g_m + s**2*(C_2*C_L*R_1*R_2*R_L*g_m + C_2*C_L*R_1*R_L + C_2*C_L*R_2*R_L) + s*(C_2*R_1*R_2*g_m + C_2*R_1 + C_2*R_2 + C_2*R_L + C_L*R_1*R_L*g_m + C_L*R_L) + 1),\frac{R_{1} R_{L} g_{m} + s \left(C_{2} R_{1} R_{2} R_{L} g_{m} + C_{2} R_{1} R_{L}\right)}{R_{1} g_{m} + s^{2} \left(C_{2} C_{L} R_{1} R_{2} R_{L} g_{m} + C_{2} C_{L} R_{1} R_{L} + C_{2} C_{L} R_{2} R_{L}\right) + s \left(C_{2} R_{1} R_{2} g_{m} + C_{2} R_{1} + C_{2} R_{2} + C_{2} R_{L} + C_{L} R_{1} R_{L} g_{m} + C_{L} R_{L}\right) + 1},True,X-INVALID-NUMER,"{'Q': (sqrt(C_2)*sqrt(C_L)*R_1*R_2*sqrt(R_L)*g_m*sqrt(R_1*g_m/(R_1*R_2*g_m + R_1 + R_2) + 1/(R_1*R_2*g_m + R_1 + R_2)) + sqrt(C_2)*sqrt(C_L)*R_1*sqrt(R_L)*sqrt(R_1*g_m/(R_1*R_2*g_m + R_1 + R_2) + 1/(R_1*R_2*g_m + R_1 + R_2)) + sqrt(C_2)*sqrt(C_L)*R_2*sqrt(R_L)*sqrt(R_1*g_m/(R_1*R_2*g_m + R_1 + R_2) + 1/(R_1*R_2*g_m + R_1 + R_2)))/(C_2*R_1*R_2*g_m + C_2*R_1 + C_2*R_2 + C_2*R_L + C_L*R_1*R_L*g_m + C_L*R_L), 'wo': sqrt((R_1*g_m + 1)/(C_2*C_L*R_1*R_2*R_L*g_m + C_2*C_L*R_1*R_L + C_2*C_L*R_2*R_L)), 'bandwidth': sqrt((R_1*g_m + 1)/(C_2*C_L*R_1*R_2*R_L*g_m + C_2*C_L*R_1*R_L + C_2*C_L*R_2*R_L))*(C_2*R_1*R_2*g_m + C_2*R_1 + C_2*R_2 + C_2*R_L + C_L*R_1*R_L*g_m + C_L*R_L)/(sqrt(C_2)*sqrt(C_L)*R_1*R_2*sqrt(R_L)*g_m*sqrt(R_1*g_m/(R_1*R_2*g_m + R_1 + R_2) + 1/(R_1*R_2*g_m + R_1 + R_2)) + sqrt(C_2)*sqrt(C_L)*R_1*sqrt(R_L)*sqrt(R_1*g_m/(R_1*R_2*g_m + R_1 + R_2) + 1/(R_1*R_2*g_m + R_1 + R_2)) + sqrt(C_2)*sqrt(C_L)*R_2*sqrt(R_L)*sqrt(R_1*g_m/(R_1*R_2*g_m + R_1 + R_2) + 1/(R_1*R_2*g_m + R_1 + R_2))), 'K_LP': R_1*R_L*g_m/(R_1*g_m + 1), 'K_HP': 0, 'K_BP': (C_2*R_1*R_2*R_L*g_m + C_2*R_1*R_L)/(C_2*R_1*R_2*g_m + C_2*R_1 + C_2*R_2 + C_2*R_L + C_L*R_1*R_L*g_m + C_L*R_L), 'Qz': None, 'Wz': None}",BiQuad,2,1
33,Z1_Z2_ZL,"(R_1, R_2 + 1/(C_2*s), oo, oo, oo, R_L + 1/(C_L*s))",(R_1*g_m + s**2*(C_2*C_L*R_1*R_2*R_L*g_m + C_2*C_L*R_1*R_L) + s*(C_2*R_1*R_2*g_m + C_2*R_1 + C_L*R_1*R_L*g_m))/(s**2*(C_2*C_L*R_1*R_2*g_m + C_2*C_L*R_1 + C_2*C_L*R_2 + C_2*C_L*R_L) + s*(C_2 + C_L*R_1*g_m + C_L)),\frac{R_{1} g_{m} + s^{2} \left(C_{2} C_{L} R_{1} R_{2} R_{L} g_{m} + C_{2} C_{L} R_{1} R_{L}\right) + s \left(C_{2} R_{1} R_{2} g_{m} + C_{2} R_{1} + C_{L} R_{1} R_{L} g_{m}\right)}{s^{2} \left(C_{2} C_{L} R_{1} R_{2} g_{m} + C_{2} C_{L} R_{1} + C_{2} C_{L} R_{2} + C_{2} C_{L} R_{L}\right) + s \left(C_{2} + C_{L} R_{1} g_{m} + C_{L}\right)},False,X-INVALID-ORDER,,BiQuad,2,2
34,Z1_Z2_ZL,"(R_1, R_2 + 1/(C_2*s), oo, oo, oo, L_L*s + 1/(C_L*s))",(C_L*L_L*R_1*g_m*s**2 + R_1*g_m + s**3*(C_2*C_L*L_L*R_1*R_2*g_m + C_2*C_L*L_L*R_1) + s*(C_2*R_1*R_2*g_m + C_2*R_1))/(C_2*C_L*L_L*s**3 + s**2*(C_2*C_L*R_1*R_2*g_m + C_2*C_L*R_1 + C_2*C_L*R_2) + s*(C_2 + C_L*R_1*g_m + C_L)),\frac{C_{L} L_{L} R_{1} g_{m} s^{2} + R_{1} g_{m} + s^{3} \left(C_{2} C_{L} L_{L} R_{1} R_{2} g_{m} + C_{2} C_{L} L_{L} R_{1}\right) + s \left(C_{2} R_{1} R_{2} g_{m} + C_{2} R_{1}\right)}{C_{2} C_{L} L_{L} s^{3} + s^{2} \left(C_{2} C_{L} R_{1} R_{2} g_{m} + C_{2} C_{L} R_{1} + C_{2} C_{L} R_{2}\right) + s \left(C_{2} + C_{L} R_{1} g_{m} + C_{L}\right)},False,X-INVALID-ORDER,,BiQuad,3,3
35,Z1_Z2_ZL,"(R_1, R_2 + 1/(C_2*s), oo, oo, oo, L_L*s/(C_L*L_L*s**2 + 1))",(L_L*R_1*g_m*s + s**2*(C_2*L_L*R_1*R_2*g_m + C_2*L_L*R_1))/(R_1*g_m + s**3*(C_2*C_L*L_L*R_1*R_2*g_m + C_2*C_L*L_L*R_1 + C_2*C_L*L_L*R_2) + s**2*(C_2*L_L + C_L*L_L*R_1*g_m + C_L*L_L) + s*(C_2*R_1*R_2*g_m + C_2*R_1 + C_2*R_2) + 1),\frac{L_{L} R_{1} g_{m} s + s^{2} \left(C_{2} L_{L} R_{1} R_{2} g_{m} + C_{2} L_{L} R_{1}\right)}{R_{1} g_{m} + s^{3} \left(C_{2} C_{L} L_{L} R_{1} R_{2} g_{m} + C_{2} C_{L} L_{L} R_{1} + C_{2} C_{L} L_{L} R_{2}\right) + s^{2} \left(C_{2} L_{L} + C_{L} L_{L} R_{1} g_{m} + C_{L} L_{L}\right) + s \left(C_{2} R_{1} R_{2} g_{m} + C_{2} R_{1} + C_{2} R_{2}\right) + 1},False,X-INVALID-ORDER,,BiQuad,3,2
36,Z1_Z2_ZL,"(R_1, R_2 + 1/(C_2*s), oo, oo, oo, L_L*s + R_L + 1/(C_L*s))",(R_1*g_m + s**3*(C_2*C_L*L_L*R_1*R_2*g_m + C_2*C_L*L_L*R_1) + s**2*(C_2*C_L*R_1*R_2*R_L*g_m + C_2*C_L*R_1*R_L + C_L*L_L*R_1*g_m) + s*(C_2*R_1*R_2*g_m + C_2*R_1 + C_L*R_1*R_L*g_m))/(C_2*C_L*L_L*s**3 + s**2*(C_2*C_L*R_1*R_2*g_m + C_2*C_L*R_1 + C_2*C_L*R_2 + C_2*C_L*R_L) + s*(C_2 + C_L*R_1*g_m + C_L)),\frac{R_{1} g_{m} + s^{3} \left(C_{2} C_{L} L_{L} R_{1} R_{2} g_{m} + C_{2} C_{L} L_{L} R_{1}\right) + s^{2} \left(C_{2} C_{L} R_{1} R_{2} R_{L} g_{m} + C_{2} C_{L} R_{1} R_{L} + C_{L} L_{L} R_{1} g_{m}\right) + s \left(C_{2} R_{1} R_{2} g_{m} + C_{2} R_{1} + C_{L} R_{1} R_{L} g_{m}\right)}{C_{2} C_{L} L_{L} s^{3} + s^{2} \left(C_{2} C_{L} R_{1} R_{2} g_{m} + C_{2} C_{L} R_{1} + C_{2} C_{L} R_{2} + C_{2} C_{L} R_{L}\right) + s \left(C_{2} + C_{L} R_{1} g_{m} + C_{L}\right)},False,X-INVALID-ORDER,,BiQuad,3,3
37,Z1_Z2_ZL,"(R_1, R_2 + 1/(C_2*s), oo, oo, oo, L_L*R_L*s/(C_L*L_L*R_L*s**2 + L_L*s + R_L))",(L_L*R_1*R_L*g_m*s + s**2*(C_2*L_L*R_1*R_2*R_L*g_m + C_2*L_L*R_1*R_L))/(R_1*R_L*g_m + R_L + s**3*(C_2*C_L*L_L*R_1*R_2*R_L*g_m + C_2*C_L*L_L*R_1*R_L + C_2*C_L*L_L*R_2*R_L) + s**2*(C_2*L_L*R_1*R_2*g_m + C_2*L_L*R_1 + C_2*L_L*R_2 + C_2*L_L*R_L + C_L*L_L*R_1*R_L*g_m + C_L*L_L*R_L) + s*(C_2*R_1*R_2*R_L*g_m + C_2*R_1*R_L + C_2*R_2*R_L + L_L*R_1*g_m + L_L)),\frac{L_{L} R_{1} R_{L} g_{m} s + s^{2} \left(C_{2} L_{L} R_{1} R_{2} R_{L} g_{m} + C_{2} L_{L} R_{1} R_{L}\right)}{R_{1} R_{L} g_{m} + R_{L} + s^{3} \left(C_{2} C_{L} L_{L} R_{1} R_{2} R_{L} g_{m} + C_{2} C_{L} L_{L} R_{1} R_{L} + C_{2} C_{L} L_{L} R_{2} R_{L}\right) + s^{2} \left(C_{2} L_{L} R_{1} R_{2} g_{m} + C_{2} L_{L} R_{1} + C_{2} L_{L} R_{2} + C_{2} L_{L} R_{L} + C_{L} L_{L} R_{1} R_{L} g_{m} + C_{L} L_{L} R_{L}\right) + s \left(C_{2} R_{1} R_{2} R_{L} g_{m} + C_{2} R_{1} R_{L} + C_{2} R_{2} R_{L} + L_{L} R_{1} g_{m} + L_{L}\right)},False,X-INVALID-ORDER,,BiQuad,3,2
38,Z1_Z2_ZL,"(R_1, R_2 + 1/(C_2*s), oo, oo, oo, (C_L*L_L*R_L*s**2 + L_L*s + R_L)/(C_L*L_L*s**2 + 1))",(R_1*R_L*g_m + s**3*(C_2*C_L*L_L*R_1*R_2*R_L*g_m + C_2*C_L*L_L*R_1*R_L) + s**2*(C_2*L_L*R_1*R_2*g_m + C_2*L_L*R_1 + C_L*L_L*R_1*R_L*g_m) + s*(C_2*R_1*R_2*R_L*g_m + C_2*R_1*R_L + L_L*R_1*g_m))/(R_1*g_m + s**3*(C_2*C_L*L_L*R_1*R_2*g_m + C_2*C_L*L_L*R_1 + C_2*C_L*L_L*R_2 + C_2*C_L*L_L*R_L) + s**2*(C_2*L_L + C_L*L_L*R_1*g_m + C_L*L_L) + s*(C_2*R_1*R_2*g_m + C_2*R_1 + C_2*R_2 + C_2*R_L) + 1),\frac{R_{1} R_{L} g_{m} + s^{3} \left(C_{2} C_{L} L_{L} R_{1} R_{2} R_{L} g_{m} + C_{2} C_{L} L_{L} R_{1} R_{L}\right) + s^{2} \left(C_{2} L_{L} R_{1} R_{2} g_{m} + C_{2} L_{L} R_{1} + C_{L} L_{L} R_{1} R_{L} g_{m}\right) + s \left(C_{2} R_{1} R_{2} R_{L} g_{m} + C_{2} R_{1} R_{L} + L_{L} R_{1} g_{m}\right)}{R_{1} g_{m} + s^{3} \left(C_{2} C_{L} L_{L} R_{1} R_{2} g_{m} + C_{2} C_{L} L_{L} R_{1} + C_{2} C_{L} L_{L} R_{2} + C_{2} C_{L} L_{L} R_{L}\right) + s^{2} \left(C_{2} L_{L} + C_{L} L_{L} R_{1} g_{m} + C_{L} L_{L}\right) + s \left(C_{2} R_{1} R_{2} g_{m} + C_{2} R_{1} + C_{2} R_{2} + C_{2} R_{L}\right) + 1},False,X-INVALID-ORDER,,BiQuad,3,3
